a,0.4851,1.0000,0.5000,0.0688
a,0.5226,1.0000,0.4868,0.1345
a,0.5394,1.0000,0.4753,0.1525
a,0.5048,1.0000,0.5000,0.0781
a,0.5424,1.0000,0.4800,0.1764
a,0.5318,1.0000,0.4888,0.1421
a,0.5117,1.0000,0.4928,0.1161
a,0.5903,1.0000,0.5000,0.4723
a,0.5515,1.0000,0.4915,0.2064
a,0.4748,1.0000,0.4911,0.1095
a,0.5202,0.0186,0.5000,0.1926
a,0.5229,0.0186,0.5000,0.1748
a,0.5694,0.0203,0.5000,0.0590
a,0.5691,0.0203,0.5000,0.0591
a,0.5219,0.0177,0.5000,0.4794
a,0.5422,0.0177,0.4988,0.5813
a,0.5491,0.0203,0.5000,0.0709
a,0.5915,0.0203,0.5000,0.6882
a,0.4628,0.0354,0.5000,0.1615
a,0.3345,0.0148,0.2420,0.3800
a,0.5115,0.0299,0.4370,0.3534
a,0.5384,0.0275,0.4869,0.6414
a,0.4955,0.0573,0.4722,0.3969
a,0.3480,0.2302,0.3214,0.4099
a,0.3628,0.2302,0.2857,0.4178
a,0.3628,0.2302,0.3704,0.4589
a,0.3446,0.2302,0.3704,0.4271
a,0.6385,1.0000,0.4919,0.7307
a,0.4255,0.7211,0.4815,0.2315
a,0.3063,0.2313,0.4524,0.4510
a,0.5734,1.0000,0.5000,0.5412
a,0.3630,1.0000,0.3201,0.5270
a,0.3628,1.0000,0.3806,0.3228
a,0.2996,1.0000,0.3930,0.3275
a,0.3393,1.0000,0.3850,0.3050
a,0.3635,1.0000,0.3954,0.2651
a,0.3777,1.0000,0.3833,0.2918
a,0.3758,1.0000,0.3920,0.3403
a,0.3353,0.1606,0.2895,0.4300
a,0.4433,0.0199,0.4704,0.1498
a,0.4831,0.0188,0.4568,0.1458
a,0.4993,0.0232,0.4401,0.1872
a,0.4332,0.0309,0.4815,0.0399
a,0.2628,0.0179,0.3263,0.7644
a,0.6081,0.0301,0.5000,0.7616
a,0.6224,0.0171,0.4258,0.7866
a,0.5352,0.0208,0.4217,0.8984
a,0.5364,0.0159,0.3946,0.9731
a,0.6163,0.0354,0.5000,0.7789
a,0.5869,0.1969,0.3815,0.7380
a,0.4024,0.0167,0.3964,0.8853
a,0.4251,0.7784,0.4586,0.7689
a,0.4882,0.5303,0.4789,0.1818
a,0.4362,0.5464,0.4519,0.0481
a,0.4866,0.5728,0.4588,0.1952
a,0.4782,0.4175,0.5000,0.3014
a,0.5194,0.6488,0.4608,0.2095
a,0.4353,1.0000,0.2837,0.1156
a,0.3090,0.0240,0.1892,0.6177
a,0.4819,0.5261,0.4844,0.2682
a,0.5273,1.0000,0.5000,0.2562
a,0.2565,1.0000,0.4432,0.1229
a,0.2578,1.0000,0.4266,0.1181
a,0.2838,0.0135,0.3950,0.3048
a,0.3166,1.0000,0.4010,0.1664
a,0.2841,0.0135,0.4261,0.2940
a,0.2734,1.0000,0.3932,0.1915
a,0.2854,0.0135,0.3996,0.3060
a,0.3759,0.9686,0.4273,0.4253
a,0.2659,0.0157,0.4256,0.2905
a,0.4891,0.0229,0.4434,0.0216
a,0.4921,0.0262,0.4538,0.0330
a,0.4879,0.0239,0.4375,0.1459
a,0.4898,0.0232,0.4273,0.1332
a,0.4855,0.0239,0.4394,0.0887
a,0.4885,0.0242,0.4252,0.1738
a,0.5186,0.5253,0.4501,0.3147
a,0.4881,0.0285,0.4062,0.0025
a,0.5078,1.0000,0.5000,0.2310
a,0.4775,0.0236,0.4208,0.0873
a,0.4504,0.0156,0.2874,0.4232
a,0.4424,0.0154,0.2945,0.4178
a,0.4135,0.0171,0.2916,0.3844
